"ID","Typ","Nazwa","Element nadrzędny","Cena","Nazwa atrybutu 1","Wartości atrybutu 1","Nazwa atrybutu 2","Wartości atrybutu 2"
"1002","variable","Kalendarz MINI","","","Uszlachetnianie","Bez uszlachetniania, Folia połysk jednostronnie, Folia mat jednostronnie","Nakład","25, 50, 100, 150, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000"
"","variation","Kalendarz MINI","id:1002","214.26","Uszlachetnianie","Bez uszlachetniania","Nakład","25"
"","variation","Kalendarz MINI","id:1002","247.24","Uszlachetnianie","Bez uszlachetniania","Nakład","50"
"","variation","Kalendarz MINI","id:1002","309.08","Uszlachetnianie","Bez uszlachetniania","Nakład","100"
"","variation","Kalendarz MINI","id:1002","416.24","Uszlachetnianie","Bez uszlachetniania","Nakład","150"
"","variation","Kalendarz MINI","id:1002","478.08","Uszlachetnianie","Bez uszlachetniania","Nakład","200"
"","variation","Kalendarz MINI","id:1002","585.24","Uszlachetnianie","Bez uszlachetniania","Nakład","250"
"","variation","Kalendarz MINI","id:1002","647.08","Uszlachetnianie","Bez uszlachetniania","Nakład","300"
"","variation","Kalendarz MINI","id:1002","828.44","Uszlachetnianie","Bez uszlachetniania","Nakład","400"
"","variation","Kalendarz MINI","id:1002","991.26","Uszlachetnianie","Bez uszlachetniania","Nakład","500"
"","variation","Kalendarz MINI","id:1002","1154.08","Uszlachetnianie","Bez uszlachetniania","Nakład","600"
"","variation","Kalendarz MINI","id:1002","1331.32","Uszlachetnianie","Bez uszlachetniania","Nakład","700"
"","variation","Kalendarz MINI","id:1002","1490.02","Uszlachetnianie","Bez uszlachetniania","Nakład","800"
"","variation","Kalendarz MINI","id:1002","1646.66","Uszlachetnianie","Bez uszlachetniania","Nakład","900"
"","variation","Kalendarz MINI","id:1002","1817.72","Uszlachetnianie","Bez uszlachetniania","Nakład","1000"
"","variation","Kalendarz MINI","id:1002","249.26","Uszlachetnianie","Folia połysk jednostronnie","Nakład","25"
"","variation","Kalendarz MINI","id:1002","317.24","Uszlachetnianie","Folia połysk jednostronnie","Nakład","50"
"","variation","Kalendarz MINI","id:1002","449.08","Uszlachetnianie","Folia połysk jednostronnie","Nakład","100"
"","variation","Kalendarz MINI","id:1002","626.24","Uszlachetnianie","Folia połysk jednostronnie","Nakład","150"
"","variation","Kalendarz MINI","id:1002","758.08","Uszlachetnianie","Folia połysk jednostronnie","Nakład","200"
"","variation","Kalendarz MINI","id:1002","935.24","Uszlachetnianie","Folia połysk jednostronnie","Nakład","250"
"","variation","Kalendarz MINI","id:1002","1067.08","Uszlachetnianie","Folia połysk jednostronnie","Nakład","300"
"","variation","Kalendarz MINI","id:1002","1388.44","Uszlachetnianie","Folia połysk jednostronnie","Nakład","400"
"","variation","Kalendarz MINI","id:1002","1691.26","Uszlachetnianie","Folia połysk jednostronnie","Nakład","500"
"","variation","Kalendarz MINI","id:1002","1994.08","Uszlachetnianie","Folia połysk jednostronnie","Nakład","600"
"","variation","Kalendarz MINI","id:1002","2311.32","Uszlachetnianie","Folia połysk jednostronnie","Nakład","700"
"","variation","Kalendarz MINI","id:1002","2610.02","Uszlachetnianie","Folia połysk jednostronnie","Nakład","800"
"","variation","Kalendarz MINI","id:1002","2906.66","Uszlachetnianie","Folia połysk jednostronnie","Nakład","900"
"","variation","Kalendarz MINI","id:1002","3217.72","Uszlachetnianie","Folia połysk jednostronnie","Nakład","1000"
"","variation","Kalendarz MINI","id:1002","249.26","Uszlachetnianie","Folia mat jednostronnie","Nakład","25"
"","variation","Kalendarz MINI","id:1002","317.24","Uszlachetnianie","Folia mat jednostronnie","Nakład","50"
"","variation","Kalendarz MINI","id:1002","449.08","Uszlachetnianie","Folia mat jednostronnie","Nakład","100"
"","variation","Kalendarz MINI","id:1002","626.24","Uszlachetnianie","Folia mat jednostronnie","Nakład","150"
"","variation","Kalendarz MINI","id:1002","758.08","Uszlachetnianie","Folia mat jednostronnie","Nakład","200"
"","variation","Kalendarz MINI","id:1002","935.24","Uszlachetnianie","Folia mat jednostronnie","Nakład","250"
"","variation","Kalendarz MINI","id:1002","1067.08","Uszlachetnianie","Folia mat jednostronnie","Nakład","300"
"","variation","Kalendarz MINI","id:1002","1388.44","Uszlachetnianie","Folia mat jednostronnie","Nakład","400"
"","variation","Kalendarz MINI","id:1002","1691.26","Uszlachetnianie","Folia mat jednostronnie","Nakład","500"
"","variation","Kalendarz MINI","id:1002","1994.08","Uszlachetnianie","Folia mat jednostronnie","Nakład","600"
"","variation","Kalendarz MINI","id:1002","2311.32","Uszlachetnianie","Folia mat jednostronnie","Nakład","700"
"","variation","Kalendarz MINI","id:1002","2610.02","Uszlachetnianie","Folia mat jednostronnie","Nakład","800"
"","variation","Kalendarz MINI","id:1002","2906.66","Uszlachetnianie","Folia mat jednostronnie","Nakład","900"
"","variation","Kalendarz MINI","id:1002","3217.72","Uszlachetnianie","Folia mat jednostronnie","Nakład","1000"
"","variation","Kalendarz MINI","id:1002","","Uszlachetnianie","Folia połysk jednostronnie","Nakład","300"
"","variation","Kalendarz MINI","id:1002","","Uszlachetnianie","Folia mat jednostronnie","Nakład","300"
