"ID","Typ","Nazwa","Element nadrzędny","Cena","Nazwa atrybutu 1","Wartości atrybutu 1","Nazwa atrybutu 2","Wartości atrybutu 2","Nazwa atrybutu 3","Wartości atrybutu 3"
"1003","variable","Kalendarz biurowy piramidka","","","Kalendarz piramidka","z nadrukowanym kalendarium, z doklejanym kalendarium","Uszlachetnienie","Folia błysk jednostronnie, Folia mat jednostronnie, Folia soft touch jednostronnie","Nakład","50, 100, 150, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000"
"","variation","Kalendarz biurowy piramidka","id:1003","370","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia błysk jednostronnie","Nakład","50"
"","variation","Kalendarz biurowy piramidka","id:1003","530","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia błysk jednostronnie","Nakład","100"
"","variation","Kalendarz biurowy piramidka","id:1003","690","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia błysk jednostronnie","Nakład","150"
"","variation","Kalendarz biurowy piramidka","id:1003","850","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia błysk jednostronnie","Nakład","200"
"","variation","Kalendarz biurowy piramidka","id:1003","1010","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia błysk jednostronnie","Nakład","250"
"","variation","Kalendarz biurowy piramidka","id:1003","1170","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia błysk jednostronnie","Nakład","300"
"","variation","Kalendarz biurowy piramidka","id:1003","1490","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia błysk jednostronnie","Nakład","400"
"","variation","Kalendarz biurowy piramidka","id:1003","1810","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia błysk jednostronnie","Nakład","500"
"","variation","Kalendarz biurowy piramidka","id:1003","2110","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia błysk jednostronnie","Nakład","600"
"","variation","Kalendarz biurowy piramidka","id:1003","2450","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia błysk jednostronnie","Nakład","700"
"","variation","Kalendarz biurowy piramidka","id:1003","2750","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia błysk jednostronnie","Nakład","800"
"","variation","Kalendarz biurowy piramidka","id:1003","3090","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia błysk jednostronnie","Nakład","900"
"","variation","Kalendarz biurowy piramidka","id:1003","3410","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia błysk jednostronnie","Nakład","1000"
"","variation","Kalendarz biurowy piramidka","id:1003","370","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia mat jednostronnie","Nakład","50"
"","variation","Kalendarz biurowy piramidka","id:1003","530","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia mat jednostronnie","Nakład","100"
"","variation","Kalendarz biurowy piramidka","id:1003","690","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia mat jednostronnie","Nakład","150"
"","variation","Kalendarz biurowy piramidka","id:1003","850","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia mat jednostronnie","Nakład","200"
"","variation","Kalendarz biurowy piramidka","id:1003","1010","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia mat jednostronnie","Nakład","250"
"","variation","Kalendarz biurowy piramidka","id:1003","1170","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia mat jednostronnie","Nakład","300"
"","variation","Kalendarz biurowy piramidka","id:1003","1490","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia mat jednostronnie","Nakład","400"
"","variation","Kalendarz biurowy piramidka","id:1003","1810","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia mat jednostronnie","Nakład","500"
"","variation","Kalendarz biurowy piramidka","id:1003","2110","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia mat jednostronnie","Nakład","600"
"","variation","Kalendarz biurowy piramidka","id:1003","2450","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia mat jednostronnie","Nakład","700"
"","variation","Kalendarz biurowy piramidka","id:1003","2750","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia mat jednostronnie","Nakład","800"
"","variation","Kalendarz biurowy piramidka","id:1003","3090","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia mat jednostronnie","Nakład","900"
"","variation","Kalendarz biurowy piramidka","id:1003","3410","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia mat jednostronnie","Nakład","1000"
"","variation","Kalendarz biurowy piramidka","id:1003","430","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia błysk jednostronnie","Nakład","50"
"","variation","Kalendarz biurowy piramidka","id:1003","590","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia błysk jednostronnie","Nakład","100"
"","variation","Kalendarz biurowy piramidka","id:1003","810","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia błysk jednostronnie","Nakład","150"
"","variation","Kalendarz biurowy piramidka","id:1003","1010","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia błysk jednostronnie","Nakład","200"
"","variation","Kalendarz biurowy piramidka","id:1003","1210","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia błysk jednostronnie","Nakład","250"
"","variation","Kalendarz biurowy piramidka","id:1003","1430","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia błysk jednostronnie","Nakład","300"
"","variation","Kalendarz biurowy piramidka","id:1003","1850","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia błysk jednostronnie","Nakład","400"
"","variation","Kalendarz biurowy piramidka","id:1003","2270","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia błysk jednostronnie","Nakład","500"
"","variation","Kalendarz biurowy piramidka","id:1003","2710","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia błysk jednostronnie","Nakład","600"
"","variation","Kalendarz biurowy piramidka","id:1003","3110","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia błysk jednostronnie","Nakład","700"
"","variation","Kalendarz biurowy piramidka","id:1003","3530","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia błysk jednostronnie","Nakład","800"
"","variation","Kalendarz biurowy piramidka","id:1003","3950","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia błysk jednostronnie","Nakład","900"
"","variation","Kalendarz biurowy piramidka","id:1003","4370","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia błysk jednostronnie","Nakład","1000"
"","variation","Kalendarz biurowy piramidka","id:1003","430","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia mat jednostronnie","Nakład","50"
"","variation","Kalendarz biurowy piramidka","id:1003","590","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia mat jednostronnie","Nakład","100"
"","variation","Kalendarz biurowy piramidka","id:1003","810","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia mat jednostronnie","Nakład","150"
