"ID","Typ","Nazwa","Element nadrzędny","Cena","Nazwa atrybutu 1","Wartości atrybutu 1","Nazwa atrybutu 2","Wartości atrybutu 2","Nazwa atrybutu 3","Wartości atrybutu 3","Nazwa atrybutu 4","Wartości atrybutu 4","Nazwa atrybutu 5","Wartości atrybutu 5","Nazwa atrybutu 6","Wartości atrybutu 6","Nazwa atrybutu 7","Wartości atrybutu 7"
"1004","variable","Karty firmowe","","","Format","85 x 55 mm, 90 x 50 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy), 4+4 (Obustronny kolorowy)","Uszlachetnienie","brak, Folia błysk jednostronnie, Folia mat jednostronnie, Folia błysk dwustronnie, Folia mat dwustronnie, Folia soft touch jednostronnie, Folia soft touch dwustronnie","Kształt narożników","Zaokrąglone, Prostokątne","Projekt","Własny, Zamawiam","Nakład","500, 1000, 2000, 3000, 4000, 5000"
"","variation","Karty firmowe","id:1004","114.048","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Zaokrąglone","Projekt","Własny","Nakład","500"
"","variation","Karty firmowe","id:1004","176.774","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Zaokrąglone","Projekt","Własny","Nakład","1000"
"","variation","Karty firmowe","id:1004","259.459","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Zaokrąglone","Projekt","Własny","Nakład","2000"
"","variation","Karty firmowe","id:1004","370.656","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Zaokrąglone","Projekt","Własny","Nakład","3000"
"","variation","Karty firmowe","id:1004","470.448","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Zaokrąglone","Projekt","Własny","Nakład","4000"
"","variation","Karty firmowe","id:1004","575.942","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Zaokrąglone","Projekt","Własny","Nakład","5000"
"","variation","Karty firmowe","id:1004","199.584","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Zaokrąglone","Projekt","Zamawiam","Nakład","500"
"","variation","Karty firmowe","id:1004","262.31","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Zaokrąglone","Projekt","Zamawiam","Nakład","1000"
"","variation","Karty firmowe","id:1004","344.995","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Zaokrąglone","Projekt","Zamawiam","Nakład","2000"
"","variation","Karty firmowe","id:1004","456.192","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Zaokrąglone","Projekt","Zamawiam","Nakład","3000"
"","variation","Karty firmowe","id:1004","555.984","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Zaokrąglone","Projekt","Zamawiam","Nakład","4000"
"","variation","Karty firmowe","id:1004","661.478","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Zaokrąglone","Projekt","Zamawiam","Nakład","5000"
"","variation","Karty firmowe","id:1004","114.048","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Prostokątne","Projekt","Własny","Nakład","500"
"","variation","Karty firmowe","id:1004","176.774","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Prostokątne","Projekt","Własny","Nakład","1000"
"","variation","Karty firmowe","id:1004","259.459","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Prostokątne","Projekt","Własny","Nakład","2000"
"","variation","Karty firmowe","id:1004","370.656","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Prostokątne","Projekt","Własny","Nakład","3000"
"","variation","Karty firmowe","id:1004","470.448","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Prostokątne","Projekt","Własny","Nakład","4000"
"","variation","Karty firmowe","id:1004","575.942","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Prostokątne","Projekt","Własny","Nakład","5000"
"","variation","Karty firmowe","id:1004","199.584","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Prostokątne","Projekt","Zamawiam","Nakład","500"
"","variation","Karty firmowe","id:1004","262.31","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Prostokątne","Projekt","Zamawiam","Nakład","1000"
"","variation","Karty firmowe","id:1004","344.995","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Prostokątne","Projekt","Zamawiam","Nakład","2000"
"","variation","Karty firmowe","id:1004","456.192","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Prostokątne","Projekt","Zamawiam","Nakład","3000"
"","variation","Karty firmowe","id:1004","555.984","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Prostokątne","Projekt","Zamawiam","Nakład","4000"
"","variation","Karty firmowe","id:1004","661.478","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Prostokątne","Projekt","Zamawiam","Nakład","5000"
"","variation","Karty firmowe","id:1004","156.816","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","Folia błysk jednostronnie","Kształt narożników","Zaokrąglone","Projekt","Własny","Nakład","500"
"","variation","Karty firmowe","id:1004","185.328","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","Folia błysk jednostronnie","Kształt narożników","Zaokrąglone","Projekt","Własny","Nakład","1000"
"","variation","Karty firmowe","id:1004","362.102","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","Folia błysk jednostronnie","Kształt narożników","Zaokrąglone","Projekt","Własny","Nakład","2000"
"","variation","Karty firmowe","id:1004","513.216","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","Folia błysk jednostronnie","Kształt narożników","Zaokrąglone","Projekt","Własny","Nakład","3000"
"","variation","Karty firmowe","id:1004","658.627","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","Folia błysk jednostronnie","Kształt narożników","Zaokrąglone","Projekt","Własny","Nakład","4000"
"","variation","Karty firmowe","id:1004","826.848","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","Folia błysk jednostronnie","Kształt narożników","Zaokrąglone","Projekt","Własny","Nakład","5000"
"","variation","Karty firmowe","id:1004","242.352","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","Folia błysk jednostronnie","Kształt narożników","Zaokrąglone","Projekt","Zamawiam","Nakład","500"
"","variation","Karty firmowe","id:1004","270.864","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","Folia błysk jednostronnie","Kształt narożników","Zaokrąglone","Projekt","Zamawiam","Nakład","1000"
"","variation","Karty firmowe","id:1004","447.638","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","Folia błysk jednostronnie","Kształt narożników","Zaokrąglone","Projekt","Zamawiam","Nakład","2000"
"","variation","Karty firmowe","id:1004","598.752","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","Folia błysk jednostronnie","Kształt narożników","Zaokrąglone","Projekt","Zamawiam","Nakład","3000"
"","variation","Karty firmowe","id:1004","744.163","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","Folia błysk jednostronnie","Kształt narożników","Zaokrąglone","Projekt","Zamawiam","Nakład","4000"
"","variation","Karty firmowe","id:1004","912.384","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","Folia błysk jednostronnie","Kształt narożników","Zaokrąglone","Projekt","Zamawiam","Nakład","5000"
"","variation","Karty firmowe","id:1004","156.816","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","Folia błysk jednostronnie","Kształt narożników","Prostokątne","Projekt","Własny","Nakład","500"
"","variation","Karty firmowe","id:1004","185.328","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","Folia błysk jednostronnie","Kształt narożników","Prostokątne","Projekt","Własny","Nakład","1000"
"","variation","Karty firmowe","id:1004","362.102","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","Folia błysk jednostronnie","Kształt narożników","Prostokątne","Projekt","Własny","Nakład","2000"
"","variation","Karty firmowe","id:1004","513.216","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","Folia błysk jednostronnie","Kształt narożników","Prostokątne","Projekt","Własny","Nakład","3000"
"","variation","Karty firmowe","id:1004","658.627","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","Folia błysk jednostronnie","Kształt narożników","Prostokątne","Projekt","Własny","Nakład","4000"
"","variation","Karty firmowe","id:1004","826.848","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","Folia błysk jednostronnie","Kształt narożników","Prostokątne","Projekt","Własny","Nakład","5000"
"","variation","Karty firmowe","id:1004","242.352","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","Folia błysk jednostronnie","Kształt narożników","Prostokątne","Projekt","Zamawiam","Nakład","500"
"","variation","Karty firmowe","id:1004","270.864","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","Folia błysk jednostronnie","Kształt narożników","Prostokątne","Projekt","Zamawiam","Nakład","1000"
