"ID","Typ","Nazwa","Element nadrzędny","Cena","Nazwa atrybutu 1","Wartości atrybutu 1","Nazwa atrybutu 2","Wartości atrybutu 2","Nazwa atrybutu 3","Wartości atrybutu 3","Nazwa atrybutu 4","Wartości atrybutu 4"
"1005","variable","Kalendarz jednodzielny","","","Kalendarz jednodzielny","310x480mm z płaską główką, 310x480mm z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie, Folia mat jednostronnie","Kalendarium","standardowe","Nakład","25, 50, 100, 150, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000"
"","variation","Kalendarz jednodzielny","id:1005","380","Kalendarz jednodzielny","310x480mm z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Kalendarium","standardowe","Nakład","25"
"","variation","Kalendarz jednodzielny","id:1005","550","Kalendarz jednodzielny","310x480mm z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Kalendarium","standardowe","Nakład","50"
"","variation","Kalendarz jednodzielny","id:1005","900","Kalendarz jednodzielny","310x480mm z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Kalendarium","standardowe","Nakład","100"
"","variation","Kalendarz jednodzielny","id:1005","1280","Kalendarz jednodzielny","310x480mm z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Kalendarium","standardowe","Nakład","150"
"","variation","Kalendarz jednodzielny","id:1005","1620","Kalendarz jednodzielny","310x480mm z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Kalendarium","standardowe","Nakład","200"
"","variation","Kalendarz jednodzielny","id:1005","2000","Kalendarz jednodzielny","310x480mm z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Kalendarium","standardowe","Nakład","250"
"","variation","Kalendarz jednodzielny","id:1005","2340","Kalendarz jednodzielny","310x480mm z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Kalendarium","standardowe","Nakład","300"
"","variation","Kalendarz jednodzielny","id:1005","3060","Kalendarz jednodzielny","310x480mm z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Kalendarium","standardowe","Nakład","400"
"","variation","Kalendarz jednodzielny","id:1005","3780","Kalendarz jednodzielny","310x480mm z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Kalendarium","standardowe","Nakład","500"
"","variation","Kalendarz jednodzielny","id:1005","4480","Kalendarz jednodzielny","310x480mm z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Kalendarium","standardowe","Nakład","600"
"","variation","Kalendarz jednodzielny","id:1005","5180","Kalendarz jednodzielny","310x480mm z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Kalendarium","standardowe","Nakład","700"
"","variation","Kalendarz jednodzielny","id:1005","5880","Kalendarz jednodzielny","310x480mm z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Kalendarium","standardowe","Nakład","800"
"","variation","Kalendarz jednodzielny","id:1005","6620","Kalendarz jednodzielny","310x480mm z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Kalendarium","standardowe","Nakład","900"
"","variation","Kalendarz jednodzielny","id:1005","7340","Kalendarz jednodzielny","310x480mm z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Kalendarium","standardowe","Nakład","1000"
"","variation","Kalendarz jednodzielny","id:1005","380","Kalendarz jednodzielny","310x480mm z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Kalendarium","standardowe","Nakład","25"
"","variation","Kalendarz jednodzielny","id:1005","550","Kalendarz jednodzielny","310x480mm z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Kalendarium","standardowe","Nakład","50"
"","variation","Kalendarz jednodzielny","id:1005","900","Kalendarz jednodzielny","310x480mm z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Kalendarium","standardowe","Nakład","100"
