"ID","Typ","Nazwa","Element nadrzędny","Cena","Nazwa atrybutu 1","Wartości atrybutu 1","Nazwa atrybutu 2","Wartości atrybutu 2","Nazwa atrybutu 3","Wartości atrybutu 3","Nazwa atrybutu 4","Wartości atrybutu 4","Nazwa atrybutu 5","Wartości atrybutu 5","Nazwa atrybutu 6","Wartości atrybutu 6"
"1006","variable","Kalendarz z gumką","","","Układ kalendarza","Dzienny","Okładka","Skóropodobna, Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem, Nadruk full color","Dodatki do kalendarzy","Bez zawieszki, Zawieszka srebrna 25 x 30 mm, Zawieszka złota 25 x 30 mm, Zawieszka srebrna 15 x 50 mm, Zawieszka złota15 x 50 mm","Ilość","20, 30, 40, 50, 60, 70, 80, 90, 100, 120, 150, 170, 200, 220, 250, 270, 300, 350, 400, 450, 500"
"","variation","Kalendarz z gumką","id:1006","792.4","Układ kalendarza","Dzienny","Okładka","Skóropodobna","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Dodatki do kalendarzy","Bez zawieszki","Ilość","20"
"","variation","Kalendarz z gumką","id:1006","1052.4","Układ kalendarza","Dzienny","Okładka","Skóropodobna","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Dodatki do kalendarzy","Bez zawieszki","Ilość","30"
"","variation","Kalendarz z gumką","id:1006","1437.2","Układ kalendarza","Dzienny","Okładka","Skóropodobna","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Dodatki do kalendarzy","Bez zawieszki","Ilość","40"
"","variation","Kalendarz z gumką","id:1006","1756","Układ kalendarza","Dzienny","Okładka","Skóropodobna","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Dodatki do kalendarzy","Bez zawieszki","Ilość","50"
"","variation","Kalendarz z gumką","id:1006","2074.8","Układ kalendarza","Dzienny","Okładka","Skóropodobna","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Dodatki do kalendarzy","Bez zawieszki","Ilość","60"
"","variation","Kalendarz z gumką","id:1006","2393.6","Układ kalendarza","Dzienny","Okładka","Skóropodobna","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Dodatki do kalendarzy","Bez zawieszki","Ilość","70"
"","variation","Kalendarz z gumką","id:1006","2712.4","Układ kalendarza","Dzienny","Okładka","Skóropodobna","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Dodatki do kalendarzy","Bez zawieszki","Ilość","80"
"","variation","Kalendarz z gumką","id:1006","3031.2","Układ kalendarza","Dzienny","Okładka","Skóropodobna","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Dodatki do kalendarzy","Bez zawieszki","Ilość","90"
"","variation","Kalendarz z gumką","id:1006","3416","Układ kalendarza","Dzienny","Okładka","Skóropodobna","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Dodatki do kalendarzy","Bez zawieszki","Ilość","100"
"","variation","Kalendarz z gumką","id:1006","4119.6","Układ kalendarza","Dzienny","Okładka","Skóropodobna","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Dodatki do kalendarzy","Bez zawieszki","Ilość","120"
"","variation","Kalendarz z gumką","id:1006","5142","Układ kalendarza","Dzienny","Okładka","Skóropodobna","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Dodatki do kalendarzy","Bez zawieszki","Ilość","150"
"","variation","Kalendarz z gumką","id:1006","5779.6","Układ kalendarza","Dzienny","Okładka","Skóropodobna","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Dodatki do kalendarzy","Bez zawieszki","Ilość","170"
"","variation","Kalendarz z gumką","id:1006","6461.9","Układ kalendarza","Dzienny","Okładka","Skóropodobna","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Dodatki do kalendarzy","Bez zawieszki","Ilość","200"
"","variation","Kalendarz z gumką","id:1006","849.6","Układ kalendarza","Dzienny","Okładka","Skóropodobna","Kolory","wybrane kolory","Znakowanie produktu","Nadruk full color","Dodatki do kalendarzy","Bez zawieszki","Ilość","20"
"","variation","Kalendarz z gumką","id:1006","1174.5","Układ kalendarza","Dzienny","Okładka","Skóropodobna","Kolory","wybrane kolory","Znakowanie produktu","Nadruk full color","Dodatki do kalendarzy","Bez zawieszki","Ilość","30"
"","variation","Kalendarz z gumką","id:1006","1565.4","Układ kalendarza","Dzienny","Okładka","Skóropodobna","Kolory","wybrane kolory","Znakowanie produktu","Nadruk full color","Dodatki do kalendarzy","Bez zawieszki","Ilość","40"
"","variation","Kalendarz z gumką","id:1006","1890.3","Układ kalendarza","Dzienny","Okładka","Skóropodobna","Kolory","wybrane kolory","Znakowanie produktu","Nadruk full color","Dodatki do kalendarzy","Bez zawieszki","Ilość","50"
"","variation","Kalendarz z gumką","id:1006","2215.2","Układ kalendarza","Dzienny","Okładka","Skóropodobna","Kolory","wybrane kolory","Znakowanie produktu","Nadruk full color","Dodatki do kalendarzy","Bez zawieszki","Ilość","60"
"","variation","Kalendarz z gumką","id:1006","2540.1","Układ kalendarza","Dzienny","Okładka","Skóropodobna","Kolory","wybrane kolory","Znakowanie produktu","Nadruk full color","Dodatki do kalendarzy","Bez zawieszki","Ilość","70"
"","variation","Kalendarz z gumką","id:1006","2865","Układ kalendarza","Dzienny","Okładka","Skóropodobna","Kolory","wybrane kolory","Znakowanie produktu","Nadruk full color","Dodatki do kalendarzy","Bez zawieszki","Ilość","80"
"","variation","Kalendarz z gumką","id:1006","3189.9","Układ kalendarza","Dzienny","Okładka","Skóropodobna","Kolory","wybrane kolory","Znakowanie produktu","Nadruk full color","Dodatki do kalendarzy","Bez zawieszki","Ilość","90"
"","variation","Kalendarz z gumką","id:1006","3580.8","Układ kalendarza","Dzienny","Okładka","Skóropodobna","Kolory","wybrane kolory","Znakowanie produktu","Nadruk full color","Dodatki do kalendarzy","Bez zawieszki","Ilość","100"
"","variation","Kalendarz z gumką","id:1006","4296.6","Układ kalendarza","Dzienny","Okładka","Skóropodobna","Kolory","wybrane kolory","Znakowanie produktu","Nadruk full color","Dodatki do kalendarzy","Bez zawieszki","Ilość","120"
"","variation","Kalendarz z gumką","id:1006","5337.3","Układ kalendarza","Dzienny","Okładka","Skóropodobna","Kolory","wybrane kolory","Znakowanie produktu","Nadruk full color","Dodatki do kalendarzy","Bez zawieszki","Ilość","150"
"","variation","Kalendarz z gumką","id:1006","5987.1","Układ kalendarza","Dzienny","Okładka","Skóropodobna","Kolory","wybrane kolory","Znakowanie produktu","Nadruk full color","Dodatki do kalendarzy","Bez zawieszki","Ilość","170"
"","variation","Kalendarz z gumką","id:1006","6676.41","Układ kalendarza","Dzienny","Okładka","Skóropodobna","Kolory","wybrane kolory","Znakowanie produktu","Nadruk full color","Dodatki do kalendarzy","Bez zawieszki","Ilość","200"
"","variation","Kalendarz z gumką","id:1006","916","Układ kalendarza","Dzienny","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Dodatki do kalendarzy","Bez zawieszki","Ilość","20"
"","variation","Kalendarz z gumką","id:1006","1052.4","Układ kalendarza","Dzienny","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Dodatki do kalendarzy","Bez zawieszki","Ilość","30"
"","variation","Kalendarz z gumką","id:1006","1437.2","Układ kalendarza","Dzienny","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Dodatki do kalendarzy","Bez zawieszki","Ilość","40"
"","variation","Kalendarz z gumką","id:1006","1756","Układ kalendarza","Dzienny","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Dodatki do kalendarzy","Bez zawieszki","Ilość","50"
"","variation","Kalendarz z gumką","id:1006","2074.8","Układ kalendarza","Dzienny","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Dodatki do kalendarzy","Bez zawieszki","Ilość","60"
"","variation","Kalendarz z gumką","id:1006","2393.6","Układ kalendarza","Dzienny","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Dodatki do kalendarzy","Bez zawieszki","Ilość","70"
"","variation","Kalendarz z gumką","id:1006","2712.4","Układ kalendarza","Dzienny","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Dodatki do kalendarzy","Bez zawieszki","Ilość","80"
