"ID","Typ","Nazwa","Element nadrzędny","Cena","Nazwa atrybutu 1","Wartości atrybutu 1","Nazwa atrybutu 2","Wartości atrybutu 2","Nazwa atrybutu 3","Wartości atrybutu 3","Nazwa atrybutu 4","Wartości atrybutu 4","Nazwa atrybutu 5","Wartości atrybutu 5"
"1008","variable","Kalendarz kieszonkowy A6 tygodniowy","","","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa, Skóropodobna","Kolory","wybrane kolory","Znakowanie produktu","Zaproponowana forma znakowania, Grawerowanie laserem, Nadruk full color","Ilość","20, 30, 40, 50, 60, 70, 80, 90, 100, 120, 150, 170, 200"
"","variation","Kalendarz kieszonkowy A6 tygodniowy","id:1008","398.4","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Zaproponowana forma znakowania","Ilość","20"
"","variation","Kalendarz kieszonkowy A6 tygodniowy","id:1008","549.6","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Zaproponowana forma znakowania","Ilość","30"
"","variation","Kalendarz kieszonkowy A6 tygodniowy","id:1008","766.8","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Zaproponowana forma znakowania","Ilość","40"
"","variation","Kalendarz kieszonkowy A6 tygodniowy","id:1008","918","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Zaproponowana forma znakowania","Ilość","50"
"","variation","Kalendarz kieszonkowy A6 tygodniowy","id:1008","1069.2","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Zaproponowana forma znakowania","Ilość","60"
"","variation","Kalendarz kieszonkowy A6 tygodniowy","id:1008","1220.4","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Zaproponowana forma znakowania","Ilość","70"
"","variation","Kalendarz kieszonkowy A6 tygodniowy","id:1008","1371.6","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Zaproponowana forma znakowania","Ilość","80"
"","variation","Kalendarz kieszonkowy A6 tygodniowy","id:1008","1523","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Zaproponowana forma znakowania","Ilość","90"
"","variation","Kalendarz kieszonkowy A6 tygodniowy","id:1008","1692","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Zaproponowana forma znakowania","Ilość","100"
"","variation","Kalendarz kieszonkowy A6 tygodniowy","id:1008","2024","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Zaproponowana forma znakowania","Ilość","120"
"","variation","Kalendarz kieszonkowy A6 tygodniowy","id:1008","2523","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Zaproponowana forma znakowania","Ilość","150"
"","variation","Kalendarz kieszonkowy A6 tygodniowy","id:1008","2851","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Zaproponowana forma znakowania","Ilość","170"
"","variation","Kalendarz kieszonkowy A6 tygodniowy","id:1008","3344","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Zaproponowana forma znakowania","Ilość","200"
"","variation","Kalendarz kieszonkowy A6 tygodniowy","id:1008","398.4","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Ilość","20"
"","variation","Kalendarz kieszonkowy A6 tygodniowy","id:1008","549.6","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Ilość","30"
"","variation","Kalendarz kieszonkowy A6 tygodniowy","id:1008","766.8","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Ilość","40"
"","variation","Kalendarz kieszonkowy A6 tygodniowy","id:1008","918","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Ilość","50"
"","variation","Kalendarz kieszonkowy A6 tygodniowy","id:1008","1069.2","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Ilość","60"
"","variation","Kalendarz kieszonkowy A6 tygodniowy","id:1008","1220.4","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Ilość","70"
"","variation","Kalendarz kieszonkowy A6 tygodniowy","id:1008","1371.6","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Ilość","80"
"","variation","Kalendarz kieszonkowy A6 tygodniowy","id:1008","1523","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Ilość","90"
"","variation","Kalendarz kieszonkowy A6 tygodniowy","id:1008","1692","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Ilość","100"
"","variation","Kalendarz kieszonkowy A6 tygodniowy","id:1008","2024","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Ilość","120"
"","variation","Kalendarz kieszonkowy A6 tygodniowy","id:1008","2523","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Ilość","150"
"","variation","Kalendarz kieszonkowy A6 tygodniowy","id:1008","2851","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Grawerowanie laserem","Ilość","170"
