"ID","Typ","Nazwa","Element nadrzędny","Cena","Nazwa atrybutu 1","Wartości atrybutu 1","Nazwa atrybutu 2","Wartości atrybutu 2","Nazwa atrybutu 3","Wartości atrybutu 3","Nazwa atrybutu 4","Wartości atrybutu 4","Nazwa atrybutu 5","Wartości atrybutu 5"
"1009","variable","Kalendarz książkowy A4 tygodniowy","","","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa, Skóropodobna","Kolory","wybrane kolory","Znakowanie produktu","Zaproponowana forma znakowania, Grawerowanie laserem, Nadruk full color","Ilość","20, 30, 40, 50, 60, 70, 80, 90, 100, 120, 150, 170, 200"
"","variation","Kalendarz książkowy A4 tygodniowy","id:1009","864","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Zaproponowana forma znakowania","Ilość","20"
"","variation","Kalendarz książkowy A4 tygodniowy","id:1009","1052.4","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Zaproponowana forma znakowania","Ilość","30"
"","variation","Kalendarz książkowy A4 tygodniowy","id:1009","1437.2","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Zaproponowana forma znakowania","Ilość","40"
"","variation","Kalendarz książkowy A4 tygodniowy","id:1009","1756","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Zaproponowana forma znakowania","Ilość","50"
"","variation","Kalendarz książkowy A4 tygodniowy","id:1009","2074.8","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Zaproponowana forma znakowania","Ilość","60"
"","variation","Kalendarz książkowy A4 tygodniowy","id:1009","2393.6","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Zaproponowana forma znakowania","Ilość","70"
"","variation","Kalendarz książkowy A4 tygodniowy","id:1009","2712.4","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Zaproponowana forma znakowania","Ilość","80"
"","variation","Kalendarz książkowy A4 tygodniowy","id:1009","3031.2","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Zaproponowana forma znakowania","Ilość","90"
"","variation","Kalendarz książkowy A4 tygodniowy","id:1009","3416","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Zaproponowana forma znakowania","Ilość","100"
"","variation","Kalendarz książkowy A4 tygodniowy","id:1009","4119.6","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Zaproponowana forma znakowania","Ilość","120"
"","variation","Kalendarz książkowy A4 tygodniowy","id:1009","5142","Układ kalendarza","Tygodniowy","Okładka","Vivella piankowa","Kolory","wybrane kolory","Znakowanie produktu","Zaproponowana forma znakowania","Ilość","150"
