"ID","Typ","Nazwa","Element nadrzędny","Cena","Nazwa atrybutu 1","Wartości atrybutu 1","Nazwa atrybutu 2","Wartości atrybutu 2","Nazwa atrybutu 3","Wartości atrybutu 3","Nazwa atrybutu 4","Wartości atrybutu 4"
"1010","variable","Kalendarz trójdzielny","","","Kalendarz trójdzielny","standard, standard plus, maxi","Kalendarz z główką - wybierz","z płaską główką, z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie, Folia mat jednostronnie, Bez uszlachetniania","Nakład","25, 50, 100, 150, 200, 250, 300, 400, 500, 600"
"","variation","Kalendarz trójdzielny","id:1010","592.25","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","25"
"","variation","Kalendarz trójdzielny","id:1010","902.75","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","50"
"","variation","Kalendarz trójdzielny","id:1010","1587","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","100"
"","variation","Kalendarz trójdzielny","id:1010","2302.3","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","150"
"","variation","Kalendarz trójdzielny","id:1010","2985.4","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","200"
"","variation","Kalendarz trójdzielny","id:1010","3712.2","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","250"
"","variation","Kalendarz trójdzielny","id:1010","4351.83","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","300"
"","variation","Kalendarz trójdzielny","id:1010","5749.54","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","400"
"","variation","Kalendarz trójdzielny","id:1010","7121.26","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","500"
"","variation","Kalendarz trójdzielny","id:1010","8490.45","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","600"
"","variation","Kalendarz trójdzielny","id:1010","655.5","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","25"
"","variation","Kalendarz trójdzielny","id:1010","902.635","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","50"
"","variation","Kalendarz trójdzielny","id:1010","1587.23","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","100"
"","variation","Kalendarz trójdzielny","id:1010","2302.65","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","150"
"","variation","Kalendarz trójdzielny","id:1010","2985.63","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","200"
"","variation","Kalendarz trójdzielny","id:1010","3712.2","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","250"
"","variation","Kalendarz trójdzielny","id:1010","4351.83","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","300"
"","variation","Kalendarz trójdzielny","id:1010","5749.54","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","400"
"","variation","Kalendarz trójdzielny","id:1010","7121.26","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","500"
"","variation","Kalendarz trójdzielny","id:1010","8490.45","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","600"
"","variation","Kalendarz trójdzielny","id:1010","655.5","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","25"
"","variation","Kalendarz trójdzielny","id:1010","1058.92","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","50"
"","variation","Kalendarz trójdzielny","id:1010","1885.77","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","100"
"","variation","Kalendarz trójdzielny","id:1010","2750.45","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","150"
"","variation","Kalendarz trójdzielny","id:1010","3578.45","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","200"
"","variation","Kalendarz trójdzielny","id:1010","4451.31","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","250"
"","variation","Kalendarz trójdzielny","id:1010","5233.08","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","300"
"","variation","Kalendarz trójdzielny","id:1010","5749.54","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","400"
"","variation","Kalendarz trójdzielny","id:1010","7121.26","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","500"
"","variation","Kalendarz trójdzielny","id:1010","8490.45","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","600"
"","variation","Kalendarz trójdzielny","id:1010","592.25","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","25"
"","variation","Kalendarz trójdzielny","id:1010","1058.92","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","50"
"","variation","Kalendarz trójdzielny","id:1010","1885.77","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","100"
"","variation","Kalendarz trójdzielny","id:1010","2750.45","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","150"
"","variation","Kalendarz trójdzielny","id:1010","3578.45","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","200"
"","variation","Kalendarz trójdzielny","id:1010","4451.31","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","250"
"","variation","Kalendarz trójdzielny","id:1010","5233.08","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","300"
"","variation","Kalendarz trójdzielny","id:1010","5749.54","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","400"
"","variation","Kalendarz trójdzielny","id:1010","7121.26","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","500"
"","variation","Kalendarz trójdzielny","id:1010","8490.45","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","600"
"","variation","Kalendarz trójdzielny","id:1010","727.26","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","25"
"","variation","Kalendarz trójdzielny","id:1010","1317.21","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","50"
"","variation","Kalendarz trójdzielny","id:1010","2238.7","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","100"
"","variation","Kalendarz trójdzielny","id:1010","3264.5","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","150"
