"ID","Typ","Nazwa","Element nadrzędny","Cena","Nazwa atrybutu 1","Wartości atrybutu 1","Nazwa atrybutu 2","Wartości atrybutu 2","Nazwa atrybutu 3","Wartości atrybutu 3","Nazwa atrybutu 4","Wartości atrybutu 4"
"1011","variable","Pakiet promocyjny","","","Karty firmowe","1000szt., format 85x55mm, 1000szt, format 90x50mm, brak lub inne wg wyceny","Baner powlekany","1szt. o wymiarze 1x2m, brak lub inny wg wyceny","Ulotki","1000szt., format A5, brak lub inne wg wyceny","Ilość kpl.","1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
"","variation","Pakiet promocyjny","id:1011","590","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","1000szt., format A5","Ilość kpl.","1"
"","variation","Pakiet promocyjny","id:1011","1180","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","1000szt., format A5","Ilość kpl.","2"
"","variation","Pakiet promocyjny","id:1011","1770","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","1000szt., format A5","Ilość kpl.","3"
"","variation","Pakiet promocyjny","id:1011","2360","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","1000szt., format A5","Ilość kpl.","4"
"","variation","Pakiet promocyjny","id:1011","2950","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","1000szt., format A5","Ilość kpl.","5"
"","variation","Pakiet promocyjny","id:1011","3540","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","1000szt., format A5","Ilość kpl.","6"
"","variation","Pakiet promocyjny","id:1011","4130","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","1000szt., format A5","Ilość kpl.","7"
"","variation","Pakiet promocyjny","id:1011","4720","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","1000szt., format A5","Ilość kpl.","8"
"","variation","Pakiet promocyjny","id:1011","5310","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","1000szt., format A5","Ilość kpl.","9"
"","variation","Pakiet promocyjny","id:1011","5900","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","1000szt., format A5","Ilość kpl.","10"
"","variation","Pakiet promocyjny","id:1011","360","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","brak lub inne wg wyceny","Ilość kpl.","1"
"","variation","Pakiet promocyjny","id:1011","720","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","brak lub inne wg wyceny","Ilość kpl.","2"
"","variation","Pakiet promocyjny","id:1011","1080","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","brak lub inne wg wyceny","Ilość kpl.","3"
"","variation","Pakiet promocyjny","id:1011","1440","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","brak lub inne wg wyceny","Ilość kpl.","4"
"","variation","Pakiet promocyjny","id:1011","1800","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","brak lub inne wg wyceny","Ilość kpl.","5"
"","variation","Pakiet promocyjny","id:1011","2160","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","brak lub inne wg wyceny","Ilość kpl.","6"
"","variation","Pakiet promocyjny","id:1011","2520","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","brak lub inne wg wyceny","Ilość kpl.","7"
"","variation","Pakiet promocyjny","id:1011","2880","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","brak lub inne wg wyceny","Ilość kpl.","8"
"","variation","Pakiet promocyjny","id:1011","3240","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","brak lub inne wg wyceny","Ilość kpl.","9"
"","variation","Pakiet promocyjny","id:1011","3600","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","brak lub inne wg wyceny","Ilość kpl.","10"
"","variation","Pakiet promocyjny","id:1011","440","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","1000szt., format A5","Ilość kpl.","1"
"","variation","Pakiet promocyjny","id:1011","880","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","1000szt., format A5","Ilość kpl.","2"
"","variation","Pakiet promocyjny","id:1011","1320","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","1000szt., format A5","Ilość kpl.","3"
"","variation","Pakiet promocyjny","id:1011","1760","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","1000szt., format A5","Ilość kpl.","4"
"","variation","Pakiet promocyjny","id:1011","2200","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","1000szt., format A5","Ilość kpl.","5"
"","variation","Pakiet promocyjny","id:1011","2640","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","1000szt., format A5","Ilość kpl.","6"
"","variation","Pakiet promocyjny","id:1011","3080","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","1000szt., format A5","Ilość kpl.","7"
"","variation","Pakiet promocyjny","id:1011","3520","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","1000szt., format A5","Ilość kpl.","8"
"","variation","Pakiet promocyjny","id:1011","3960","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","1000szt., format A5","Ilość kpl.","9"
"","variation","Pakiet promocyjny","id:1011","4400","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","1000szt., format A5","Ilość kpl.","10"
