"ID","Typ","Nazwa","Element nadrzędny","Cena","Nazwa atrybutu 1","Wartości atrybutu 1","Nazwa atrybutu 2","Wartości atrybutu 2","Nazwa atrybutu 3","Wartości atrybutu 3","Nazwa atrybutu 4","Wartości atrybutu 4","Nazwa atrybutu 5","Wartości atrybutu 5","Nazwa atrybutu 6","Wartości atrybutu 6","Nazwa atrybutu 7","Wartości atrybutu 7","Nazwa atrybutu 8","Wartości atrybutu 8"
"1012","variable","Koperty","","","Format","155x155mm, C4(324x229mm), C5(229x162mm), C6(162x114mm), DL (99 x 210 mm)","Papier","80 g – offset","Kolory","Jednostronny pełnokolorowy (4+0)","Klejenie","pasek HK, samoklejące","Okienko adresowe","nie, tak","Projekt graficzny","zlecam własny projekt po akceptacji podglądu, zamawiam projekt loga, zamawiam prosty projekt 1-stronny","Czas realizacji","7 dni","Nakłady","100, 250, 500, 1000, 2000, 3000, 4000, 5000, 6000, 7000, 8000, 9000, 10000"
"","variation","Koperty","id:1012","772.8","Format","155x155mm","Papier","80 g – offset","Kolory","Jednostronny pełnokolorowy (4+0)","Klejenie","pasek HK","Okienko adresowe","nie","Projekt graficzny","zlecam własny projekt po akceptacji podglądu","Czas realizacji","7 dni","Nakłady","100"
"","variation","Koperty","id:1012","859.2","Format","155x155mm","Papier","80 g – offset","Kolory","Jednostronny pełnokolorowy (4+0)","Klejenie","pasek HK","Okienko adresowe","nie","Projekt graficzny","zlecam własny projekt po akceptacji podglądu","Czas realizacji","7 dni","Nakłady","250"
"","variation","Koperty","id:1012","969.6","Format","155x155mm","Papier","80 g – offset","Kolory","Jednostronny pełnokolorowy (4+0)","Klejenie","pasek HK","Okienko adresowe","nie","Projekt graficzny","zlecam własny projekt po akceptacji podglądu","Czas realizacji","7 dni","Nakłady","500"
"","variation","Koperty","id:1012","1027.2","Format","155x155mm","Papier","80 g – offset","Kolory","Jednostronny pełnokolorowy (4+0)","Klejenie","pasek HK","Okienko adresowe","nie","Projekt graficzny","zlecam własny projekt po akceptacji podglądu","Czas realizacji","7 dni","Nakłady","1000"
"","variation","Koperty","id:1012","1591.2","Format","155x155mm","Papier","80 g – offset","Kolory","Jednostronny pełnokolorowy (4+0)","Klejenie","pasek HK","Okienko adresowe","nie","Projekt graficzny","zlecam własny projekt po akceptacji podglądu","Czas realizacji","7 dni","Nakłady","2000"
"","variation","Koperty","id:1012","2248.8","Format","155x155mm","Papier","80 g – offset","Kolory","Jednostronny pełnokolorowy (4+0)","Klejenie","pasek HK","Okienko adresowe","nie","Projekt graficzny","zlecam własny projekt po akceptacji podglądu","Czas realizacji","7 dni","Nakłady","3000"
"","variation","Koperty","id:1012","2870.4","Format","155x155mm","Papier","80 g – offset","Kolory","Jednostronny pełnokolorowy (4+0)","Klejenie","pasek HK","Okienko adresowe","nie","Projekt graficzny","zlecam własny projekt po akceptacji podglądu","Czas realizacji","7 dni","Nakłady","4000"
"","variation","Koperty","id:1012","3494.4","Format","155x155mm","Papier","80 g – offset","Kolory","Jednostronny pełnokolorowy (4+0)","Klejenie","pasek HK","Okienko adresowe","nie","Projekt graficzny","zlecam własny projekt po akceptacji podglądu","Czas realizacji","7 dni","Nakłady","5000"
"","variation","Koperty","id:1012","3991.2","Format","155x155mm","Papier","80 g – offset","Kolory","Jednostronny pełnokolorowy (4+0)","Klejenie","pasek HK","Okienko adresowe","nie","Projekt graficzny","zlecam własny projekt po akceptacji podglądu","Czas realizacji","7 dni","Nakłady","6000"
