"ID","Typ","Nazwa","Element nadrzędny","Cena","Nazwa atrybutu 1","Wartości atrybutu 1","Nazwa atrybutu 2","Wartości atrybutu 2","Nazwa atrybutu 3","Wartości atrybutu 3","Nazwa atrybutu 4","Wartości atrybutu 4"
"1013","variable","Papier firmowy","","","Format","A4 (210 x 297 mm)","Papier","Offset 90g","Kolorystyka","4+0 (jednostronny kolor)","Nakład","500, 1000, 1500, 2000, 3000, 3500, 4000, 4500, 5000, 10000"
"","variation","Papier firmowy","id:1013","371.549","Format","A4 (210 x 297 mm)","Papier","Offset 90g","Kolorystyka","4+0 (jednostronny kolor)","Nakład","500"
"","variation","Papier firmowy","id:1013","391.453","Format","A4 (210 x 297 mm)","Papier","Offset 90g","Kolorystyka","4+0 (jednostronny kolor)","Nakład","1000"
"","variation","Papier firmowy","id:1013","409.146","Format","A4 (210 x 297 mm)","Papier","Offset 90g","Kolorystyka","4+0 (jednostronny kolor)","Nakład","1500"
"","variation","Papier firmowy","id:1013","460.013","Format","A4 (210 x 297 mm)","Papier","Offset 90g","Kolorystyka","4+0 (jednostronny kolor)","Nakład","2000"
"","variation","Papier firmowy","id:1013","592.709","Format","A4 (210 x 297 mm)","Papier","Offset 90g","Kolorystyka","4+0 (jednostronny kolor)","Nakład","3000"
"","variation","Papier firmowy","id:1013","652.422","Format","A4 (210 x 297 mm)","Papier","Offset 90g","Kolorystyka","4+0 (jednostronny kolor)","Nakład","3500"
"","variation","Papier firmowy","id:1013","654.634","Format","A4 (210 x 297 mm)","Papier","Offset 90g","Kolorystyka","4+0 (jednostronny kolor)","Nakład","4000"
"","variation","Papier firmowy","id:1013","703.289","Format","A4 (210 x 297 mm)","Papier","Offset 90g","Kolorystyka","4+0 (jednostronny kolor)","Nakład","4500"
"","variation","Papier firmowy","id:1013","818.292","Format","A4 (210 x 297 mm)","Papier","Offset 90g","Kolorystyka","4+0 (jednostronny kolor)","Nakład","5000"
"","variation","Papier firmowy","id:1013","1326.96","Format","A4 (210 x 297 mm)","Papier","Offset 90g","Kolorystyka","4+0 (jednostronny kolor)","Nakład","10000"
