"ID","Typ","Nazwa","Element nadrzędny","Cena","Nazwa atrybutu 1","Wartości atrybutu 1","Nazwa atrybutu 2","Wartości atrybutu 2","Nazwa atrybutu 3","Wartości atrybutu 3","Nazwa atrybutu 4","Wartości atrybutu 4","Nazwa atrybutu 5","Wartości atrybutu 5","Nazwa atrybutu 6","Wartości atrybutu 6"
"1018","variable","Siatka mesh","","","Wymiar","200x100 cm, 300x100cm, 300x150 cm, 400x150 cm, 200x150 cm, 100x100 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni, zlecam wykonanie profesjonalnego projektu (jednostronny), zamawiam prosty projekt 1-stronny","Ilość","1, 2, 3, 4, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50"
"","variation","Siatka mesh","id:1018","171.072","Wymiar","200x100 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","1"
"","variation","Siatka mesh","id:1018","310.068","Wymiar","200x100 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","2"
"","variation","Siatka mesh","id:1018","449.064","Wymiar","200x100 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","3"
"","variation","Siatka mesh","id:1018","588.06","Wymiar","200x100 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","4"
"","variation","Siatka mesh","id:1018","727.056","Wymiar","200x100 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","5"
"","variation","Siatka mesh","id:1018","1422.04","Wymiar","200x100 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","10"
"","variation","Siatka mesh","id:1018","2117.02","Wymiar","200x100 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","15"
"","variation","Siatka mesh","id:1018","2812","Wymiar","200x100 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","20"
"","variation","Siatka mesh","id:1018","3506.98","Wymiar","200x100 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","25"
