"ID","Typ","Nazwa","Element nadrzędny","Cena","Nazwa atrybutu 1","Wartości atrybutu 1","Nazwa atrybutu 2","Wartości atrybutu 2"
"1019","variable","Magnesy na samochód","","","Znakowanie produktu","Nadruk full color z projektem","Ilość","1, 2, 3, 4, 5, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 120, 150, 170, 200, 250, 300, 400, 450, 500, 600, 700, 800, 900, 1000"
"","variation","Magnesy na samochód","id:1019","459.8","Znakowanie produktu","Nadruk full color z projektem","Ilość","1"
"","variation","Magnesy na samochód","id:1019","774.4","Znakowanie produktu","Nadruk full color z projektem","Ilość","2"
"","variation","Magnesy na samochód","id:1019","1089","Znakowanie produktu","Nadruk full color z projektem","Ilość","3"
"","variation","Magnesy na samochód","id:1019","1403.6","Znakowanie produktu","Nadruk full color z projektem","Ilość","4"
"","variation","Magnesy na samochód","id:1019","1737.56","Znakowanie produktu","Nadruk full color z projektem","Ilość","5"
"","variation","Magnesy na samochód","id:1019","3438.82","Znakowanie produktu","Nadruk full color z projektem","Ilość","10"
"","variation","Magnesy na samochód","id:1019","6809.88","Znakowanie produktu","Nadruk full color z projektem","Ilość","20"
"","variation","Magnesy na samochód","id:1019","10112","Znakowanie produktu","Nadruk full color z projektem","Ilość","30"
"","variation","Magnesy na samochód","id:1019","13347.5","Znakowanie produktu","Nadruk full color z projektem","Ilość","40"
"","variation","Magnesy na samochód","id:1019","16517.7","Znakowanie produktu","Nadruk full color z projektem","Ilość","50"
"","variation","Magnesy na samochód","id:1019","19623.8","Znakowanie produktu","Nadruk full color z projektem","Ilość","60"
"","variation","Magnesy na samochód","id:1019","22665.7","Znakowanie produktu","Nadruk full color z projektem","Ilość","70"
"","variation","Magnesy na samochód","id:1019","25644.7","Znakowanie produktu","Nadruk full color z projektem","Ilość","80"
"","variation","Magnesy na samochód","id:1019","28560.8","Znakowanie produktu","Nadruk full color z projektem","Ilość","90"
"","variation","Magnesy na samochód","id:1019","31417.7","Znakowanie produktu","Nadruk full color z projektem","Ilość","100"
"","variation","Magnesy na samochód","id:1019","37323.7","Znakowanie produktu","Nadruk full color z projektem","Ilość","120"
"","variation","Magnesy na samochód","id:1019","46188.1","Znakowanie produktu","Nadruk full color z projektem","Ilość","150"
"","variation","Magnesy na samochód","id:1019","51823.1","Znakowanie produktu","Nadruk full color z projektem","Ilość","170"
"","variation","Magnesy na samochód","id:1019","60358.4","Znakowanie produktu","Nadruk full color z projektem","Ilość","200"
"","variation","Magnesy na samochód","id:1019","74694.5","Znakowanie produktu","Nadruk full color z projektem","Ilość","250"
"","variation","Magnesy na samochód","id:1019","88736.6","Znakowanie produktu","Nadruk full color z projektem","Ilość","300"
"","variation","Magnesy na samochód","id:1019","117132","Znakowanie produktu","Nadruk full color z projektem","Ilość","400"
"","variation","Magnesy na samochód","id:1019","130456","Znakowanie produktu","Nadruk full color z projektem","Ilość","450"
"","variation","Magnesy na samochód","id:1019","143503","Znakowanie produktu","Nadruk full color z projektem","Ilość","500"
"","variation","Magnesy na samochód","id:1019","170480","Znakowanie produktu","Nadruk full color z projektem","Ilość","600"
"","variation","Magnesy na samochód","id:1019","196904","Znakowanie produktu","Nadruk full color z projektem","Ilość","700"
"","variation","Magnesy na samochód","id:1019","222784","Znakowanie produktu","Nadruk full color z projektem","Ilość","800"
"","variation","Magnesy na samochód","id:1019","248125","Znakowanie produktu","Nadruk full color z projektem","Ilość","900"
"","variation","Magnesy na samochód","id:1019","272938","Znakowanie produktu","Nadruk full color z projektem","Ilość","1000"
