"ID","Typ","Nazwa","Element nadrzędny","Cena","Nazwa atrybutu 1","Wartości atrybutu 1","Nazwa atrybutu 2","Wartości atrybutu 2","Nazwa atrybutu 3","Wartości atrybutu 3","Nazwa atrybutu 4","Wartości atrybutu 4","Nazwa atrybutu 5","Wartości atrybutu 5","Nazwa atrybutu 6","Wartości atrybutu 6"
"1020","variable","Ramki pod tablice + listwy z nadrukiem","","","Ramka","czarna matowa o wymiarze 525x133mm","Nadruk","1+0 jednostronny (dowolny 1 kolor), 2+0 jednostronny (dowolne 2 kolory), 4+0 jednostronny CMYK( Full Color + biały)","Pole nadruku","Standard 509mm x 19mm, INTENSE: 513mm x 22mm","Projekt graficzny","zamawiam bezpłatny wraz z wizualizacją","Ilość dodatkowych listew",", 10, 20, 30, 50, 100, 120, 150, 200, 250, 300","Ilość kpl.","25, 50, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000"
"","variation","Ramki pod tablice + listwy z nadrukiem","id:1020","265.033","Ramka","czarna matowa o wymiarze 525x133mm","Nadruk","1+0 jednostronny (dowolny 1 kolor)","Pole nadruku","Standard 509mm x 19mm","Projekt graficzny","zamawiam bezpłatny wraz z wizualizacją","Ilość dodatkowych listew","","Ilość kpl.","25"
"","variation","Ramki pod tablice + listwy z nadrukiem","id:1020","368.746","Ramka","czarna matowa o wymiarze 525x133mm","Nadruk","1+0 jednostronny (dowolny 1 kolor)","Pole nadruku","Standard 509mm x 19mm","Projekt graficzny","zamawiam bezpłatny wraz z wizualizacją","Ilość dodatkowych listew","","Ilość kpl.","50"
"","variation","Ramki pod tablice + listwy z nadrukiem","id:1020","622.257","Ramka","czarna matowa o wymiarze 525x133mm","Nadruk","1+0 jednostronny (dowolny 1 kolor)","Pole nadruku","Standard 509mm x 19mm","Projekt graficzny","zamawiam bezpłatny wraz z wizualizacją","Ilość dodatkowych listew","","Ilość kpl.","100"
"","variation","Ramki pod tablice + listwy z nadrukiem","id:1020","1140.81","Ramka","czarna matowa o wymiarze 525x133mm","Nadruk","1+0 jednostronny (dowolny 1 kolor)","Pole nadruku","Standard 509mm x 19mm","Projekt graficzny","zamawiam bezpłatny wraz z wizualizacją","Ilość dodatkowych listew","","Ilość kpl.","200"
"","variation","Ramki pod tablice + listwy z nadrukiem","id:1020","1654.75","Ramka","czarna matowa o wymiarze 525x133mm","Nadruk","1+0 jednostronny (dowolny 1 kolor)","Pole nadruku","Standard 509mm x 19mm","Projekt graficzny","zamawiam bezpłatny wraz z wizualizacją","Ilość dodatkowych listew","","Ilość kpl.","300"
"","variation","Ramki pod tablice + listwy z nadrukiem","id:1020","2157.17","Ramka","czarna matowa o wymiarze 525x133mm","Nadruk","1+0 jednostronny (dowolny 1 kolor)","Pole nadruku","Standard 509mm x 19mm","Projekt graficzny","zamawiam bezpłatny wraz z wizualizacją","Ilość dodatkowych listew","","Ilość kpl.","400"
"","variation","Ramki pod tablice + listwy z nadrukiem","id:1020","2623.87","Ramka","czarna matowa o wymiarze 525x133mm","Nadruk","1+0 jednostronny (dowolny 1 kolor)","Pole nadruku","Standard 509mm x 19mm","Projekt graficzny","zamawiam bezpłatny wraz z wizualizacją","Ilość dodatkowych listew","","Ilość kpl.","500"
"","variation","Ramki pod tablice + listwy z nadrukiem","id:1020","3007.59","Ramka","czarna matowa o wymiarze 525x133mm","Nadruk","1+0 jednostronny (dowolny 1 kolor)","Pole nadruku","Standard 509mm x 19mm","Projekt graficzny","zamawiam bezpłatny wraz z wizualizacją","Ilość dodatkowych listew","","Ilość kpl.","600"
"","variation","Ramki pod tablice + listwy z nadrukiem","id:1020","3459.31","Ramka","czarna matowa o wymiarze 525x133mm","Nadruk","1+0 jednostronny (dowolny 1 kolor)","Pole nadruku","Standard 509mm x 19mm","Projekt graficzny","zamawiam bezpłatny wraz z wizualizacją","Ilość dodatkowych listew","","Ilość kpl.","700"
