"ID","Typ","Nazwa","Element nadrzędny","Cena","Nazwa atrybutu 1","Wartości atrybutu 1","Nazwa atrybutu 2","Wartości atrybutu 2"
"1021","variable","Potykacze","","","Format","B2 (480 x 680 mm), B2","Ilość","1, 2, 3, 4, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 60, 70, 80, 90, 100"
"","variation","Potykacze","id:1021","246.4","Format","B2 (480 x 680 mm)","Ilość","1"
"","variation","Potykacze","id:1021","452.8","Format","B2 (480 x 680 mm)","Ilość","2"
"","variation","Potykacze","id:1021","659.2","Format","B2 (480 x 680 mm)","Ilość","3"
"","variation","Potykacze","id:1021","905.6","Format","B2 (480 x 680 mm)","Ilość","4"
"","variation","Potykacze","id:1021","1112","Format","B2 (480 x 680 mm)","Ilość","5"
"","variation","Potykacze","id:1021","2055","Format","B2 (480 x 680 mm)","Ilość","10"
"","variation","Potykacze","id:1021","3102.5","Format","B2 (480 x 680 mm)","Ilość","15"
"","variation","Potykacze","id:1021","4070","Format","B2 (480 x 680 mm)","Ilość","20"
"","variation","Potykacze","id:1021","5037.5","Format","B2 (480 x 680 mm)","Ilość","25"
"","variation","Potykacze","id:1021","6005","Format","B2 (480 x 680 mm)","Ilość","30"
"","variation","Potykacze","id:1021","6972.5","Format","B2 (480 x 680 mm)","Ilość","35"
"","variation","Potykacze","id:1021","7940","Format","B2 (480 x 680 mm)","Ilość","40"
"","variation","Potykacze","id:1021","8907.5","Format","B2 (480 x 680 mm)","Ilość","45"
"","variation","Potykacze","id:1021","9875","Format","B2 (480 x 680 mm)","Ilość","50"
"","variation","Potykacze","id:1021","11930","Format","B2 (480 x 680 mm)","Ilość","60"
"","variation","Potykacze","id:1021","13865","Format","B2 (480 x 680 mm)","Ilość","70"
"","variation","Potykacze","id:1021","15800","Format","B2 (480 x 680 mm)","Ilość","80"
"","variation","Potykacze","id:1021","17775","Format","B2 (480 x 680 mm)","Ilość","90"
"","variation","Potykacze","id:1021","19710","Format","B2 (480 x 680 mm)","Ilość","100"
"","variation","Potykacze","id:1021","246.4","Format","B2","Ilość","1"
"","variation","Potykacze","id:1021","452.8","Format","B2","Ilość","2"
"","variation","Potykacze","id:1021","659.2","Format","B2","Ilość","3"
"","variation","Potykacze","id:1021","905.6","Format","B2","Ilość","4"
"","variation","Potykacze","id:1021","1112","Format","B2","Ilość","5"
"","variation","Potykacze","id:1021","2055","Format","B2","Ilość","10"
"","variation","Potykacze","id:1021","3102.5","Format","B2","Ilość","15"
"","variation","Potykacze","id:1021","4070","Format","B2","Ilość","20"
"","variation","Potykacze","id:1021","5037.5","Format","B2","Ilość","25"
"","variation","Potykacze","id:1021","6005","Format","B2","Ilość","30"
"","variation","Potykacze","id:1021","6972.5","Format","B2","Ilość","35"
"","variation","Potykacze","id:1021","7940","Format","B2","Ilość","40"
"","variation","Potykacze","id:1021","8907.5","Format","B2","Ilość","45"
"","variation","Potykacze","id:1021","9875","Format","B2","Ilość","50"
