"ID","Typ","Nazwa","Element nadrzędny","Cena","Nazwa atrybutu 1","Wartości atrybutu 1","Nazwa atrybutu 2","Wartości atrybutu 2","Nazwa atrybutu 3","Wartości atrybutu 3","Nazwa atrybutu 4","Wartości atrybutu 4","Nazwa atrybutu 5","Wartości atrybutu 5","Nazwa atrybutu 6","Wartości atrybutu 6","Nazwa atrybutu 7","Wartości atrybutu 7"
"1334","variable","Testowy produkt","","","Format","85 x 55 mm, 90 x 50 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy), 4+4 (Obustronny kolorowy)","Uszlachetnienie","brak, Folia błysk jednostronnie, Folia mat jednostronnie, Folia błysk dwustronnie, Folia mat dwustronnie, Folia soft touch jednostronnie, Folia soft touch dwustronnie","Kształt narożników","Zaokrąglone, Prostokątne","Projekt","Własny, Zamawiam","Nakład","500, 1000, 2000, 3000, 4000, 5000"
"","variation","Testowy produkt","id:1334","114.05","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Zaokrąglone","Projekt","Własny","Nakład","500"
"","variation","Testowy produkt","id:1334","176.77","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Zaokrąglone","Projekt","Własny","Nakład","1000"
"","variation","Testowy produkt","id:1334","259.46","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Zaokrąglone","Projekt","Własny","Nakład","2000"
"","variation","Testowy produkt","id:1334","370.66","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Zaokrąglone","Projekt","Własny","Nakład","3000"
"","variation","Testowy produkt","id:1334","470.45","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Zaokrąglone","Projekt","Własny","Nakład","4000"
"","variation","Testowy produkt","id:1334","575.94","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Zaokrąglone","Projekt","Własny","Nakład","5000"
"","variation","Testowy produkt","id:1334","199.58","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Zaokrąglone","Projekt","Zamawiam","Nakład","500"
"","variation","Testowy produkt","id:1334","262.31","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Zaokrąglone","Projekt","Zamawiam","Nakład","1000"
"","variation","Testowy produkt","id:1334","345","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Zaokrąglone","Projekt","Zamawiam","Nakład","2000"
"","variation","Testowy produkt","id:1334","456.19","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Zaokrąglone","Projekt","Zamawiam","Nakład","3000"
"","variation","Testowy produkt","id:1334","555.98","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Zaokrąglone","Projekt","Zamawiam","Nakład","4000"
"","variation","Testowy produkt","id:1334","661.48","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Zaokrąglone","Projekt","Zamawiam","Nakład","5000"
"","variation","Testowy produkt","id:1334","114.05","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Prostokątne","Projekt","Własny","Nakład","500"
"","variation","Testowy produkt","id:1334","176.77","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Prostokątne","Projekt","Własny","Nakład","1000"
"","variation","Testowy produkt","id:1334","259.46","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Prostokątne","Projekt","Własny","Nakład","2000"
"","variation","Testowy produkt","id:1334","370.66","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Prostokątne","Projekt","Własny","Nakład","3000"
"","variation","Testowy produkt","id:1334","470.45","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Prostokątne","Projekt","Własny","Nakład","4000"
"","variation","Testowy produkt","id:1334","575.94","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Prostokątne","Projekt","Własny","Nakład","5000"
"","variation","Testowy produkt","id:1334","199.58","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Prostokątne","Projekt","Zamawiam","Nakład","500"
"","variation","Testowy produkt","id:1334","262.31","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Prostokątne","Projekt","Zamawiam","Nakład","1000"
"","variation","Testowy produkt","id:1334","345","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Prostokątne","Projekt","Zamawiam","Nakład","2000"
"","variation","Testowy produkt","id:1334","456.19","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Prostokątne","Projekt","Zamawiam","Nakład","3000"
"","variation","Testowy produkt","id:1334","555.98","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Prostokątne","Projekt","Zamawiam","Nakład","4000"
"","variation","Testowy produkt","id:1334","661.48","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","brak","Kształt narożników","Prostokątne","Projekt","Zamawiam","Nakład","5000"
"","variation","Testowy produkt","id:1334","156.82","Format","85 x 55 mm","Papier","350g – kreda mat","Zadruk","4+0 (Jednostronny kolorowy)","Uszlachetnienie","Folia błysk jednostronnie","Kształt narożników","Zaokrąglone","Projekt","Własny","Nakład","500"
